slug,name,country,location,summary,description,coverImage,images,classification,featured,visitDuration,priceFrom,hotelsAvailable,stayNote,isActive,displayOrder
forbidden-city,Forbidden City,China,Beijing,"The walled palace of 24 Ming and Qing emperors, now the Palace Museum, at the ceremonial heart of Beijing.","Built between 1406 and 1420, the Forbidden City was home to 24 emperors until the last left in 1924. It covers some 72 hectares, with about 980 surviving buildings behind a moat and ten-metre walls. The route runs north from the Meridian Gate through vast courtyards to the Hall of Supreme Harmony, then into the more intimate inner palaces and the Imperial Garden.

The side courts to the east, including the Treasure Gallery and the Hall of Clocks, are quieter than the central axis and repay the extra time. When you leave by the north gate, cross the road and climb Jingshan Park's hill for the classic view over the golden roofs.",/api/placeholder.svg?t=Forbidden%20City&s=Beijing%2C%20China,,standard,false,Half day,,true,"Stay near Wangfujing, a short drive or walk from the palace",true,78
terracotta-army,Terracotta Army,China,Xi'an,"Thousands of life-size clay warriors guarding the tomb of China's first emperor, discovered by farmers digging a well in 1974.","The Terracotta Army was buried around 210 BC to guard the tomb of Qin Shi Huang, the ruler who first unified China. Farmers found fragments in 1974, and excavation has continued ever since. Pit 1, under a hangar-like hall, holds ranks of infantry facing east in battle order. Archaeologists estimate some 8,000 figures in total, along with chariots and horses.

Every face differs in expression, hairstyle and features. Pit 2 holds archers and cavalry, and Pit 3 the command post. The on-site museum displays two bronze chariots found near the emperor's mound, which itself remains unexcavated.",/api/placeholder.svg?t=Terracotta%20Army&s=Xi'an%2C%20China,,standard,false,Half day,,false,"Stay inside Xi'an's city walls, about an hour's drive away",true,79
li-river-cruise,Li River Cruise,China,Guilin,A slow river journey between Guilin and Yangshuo through the karst peaks painted on China's 20-yuan note.,"The Li River winds south from Guilin to Yangshuo, some 80 kilometres through limestone towers, bamboo groves and small farming villages. A full cruise takes around four hours. The most celebrated stretch lies around Xingping, where the view printed on the 20-yuan banknote can be matched to the real hills.

For something quieter than the large cruise boats, take a bamboo raft on the Yulong River near Yangshuo, a smaller tributary with stone bridges and rice fields. In the evenings, local fishermen still work with cormorants on the river, a tradition now kept alive mostly for visitors.",/api/placeholder.svg?t=Li%20River%20Cruise&s=Guilin%2C%20China,,standard,false,Full day,,true,Stay in Yangshuo among the karst peaks,true,80
ubud-tegallalang-rice-terraces,Ubud and Tegallalang Rice Terraces,Indonesia,Bali,"Bali's cultural heartland, with palace dance, craft villages and green rice terraces shaped by a thousand-year-old irrigation system.","Ubud sits in Bali's central uplands, a town of royal compounds, temples and artists' studios. Evening dance performances are held at the Ubud Palace, and the Campuhan Ridge walk offers a short, easy stroll along a grassy spine between two river valleys.

Tegallalang, about 30 minutes north, has some of Bali's most photographed rice terraces, carved into a steep valley. They are watered by subak, a cooperative irrigation system managed through water temples and recognised by UNESCO in 2012. Arrive early, before the swings and cafés open, to see farmers at work in soft light.",/api/placeholder.svg?t=Ubud%20and%20Tegallalang%20Rice%20Terraces&s=Bali%2C%20Indonesia,,standard,false,Full day,,true,Stay in a villa above the Ayung River valley near Ubud,true,81
uluwatu-temple,Uluwatu Temple,Indonesia,Bali,"A Balinese sea temple on a limestone cliff about 70 metres above the Indian Ocean, famous for its sunset kecak dance.","Pura Luhur Uluwatu stands at the southwestern tip of the Bukit peninsula, on a cliff about 70 metres above the surf. It is one of Bali's key directional temples, protecting the island from the spirits of the sea, and its shrine is tied to the Javanese priest Dang Hyang Nirartha in the 16th century. The inner sanctum is open only to worshippers, but the cliff-top paths give long views along the coast.

At sunset the kecak dance is performed in an open amphitheatre above the ocean, a chant-driven retelling of the Ramayana. Keep sunglasses and phones secure: the resident long-tailed macaques are skilled thieves.",/api/placeholder.svg?t=Uluwatu%20Temple&s=Bali%2C%20Indonesia,,standard,false,2-3 hours,,true,Stay in a cliff-top resort on the Bukit peninsula,true,82
borobudur,Borobudur,Indonesia,Yogyakarta,"The world's largest Buddhist monument, a 9th-century stepped pyramid of carved stone rising from the green plains of central Java.","Borobudur was built by the Sailendra dynasty in the 8th and 9th centuries, then lay half-buried under volcanic ash and jungle for centuries. It rises in nine stacked platforms, six square and three circular, lined with 2,672 relief panels and 504 Buddha statues. Walking clockwise up through the galleries traces a path from the everyday world towards enlightenment.

The top terraces hold 72 bell-shaped stupas, each enclosing a seated Buddha seen through the stone lattice. To protect the stone, climbing the monument is now limited to small timed groups, who wear woven sandals provided on site.",/api/placeholder.svg?t=Borobudur&s=Yogyakarta%2C%20Indonesia,,standard,false,Half day,,true,Stay in a resort in the hills around Borobudur,true,83
komodo-national-park,Komodo National Park,Indonesia,Labuan Bajo,"Rugged volcanic islands where Komodo dragons roam wild, surrounded by reefs rich with manta rays and coral.","Komodo National Park was created in 1980 and listed by UNESCO in 1991. It is the only place in the world where the Komodo dragon, the largest living lizard, lives wild, mainly on Komodo and Rinca islands. Walks with park rangers follow dry forest and savannah trails where the dragons hunt deer and wild boar.

The waters around the islands mix strong currents and rich nutrients, drawing manta rays, reef sharks and turtles. The short sunrise climb on Padar gives a view over three bays of different colours. Most visitors explore on a traditional wooden phinisi, sleeping aboard at anchor.",/api/placeholder.svg?t=Komodo%20National%20Park&s=Labuan%20Bajo%2C%20Indonesia,,standard,false,2-3 days,,true,Sleep aboard a private phinisi or stay in Labuan Bajo,true,84
ha-long-bay,Ha Long Bay,Vietnam,Ha Long Bay,"Some 1,600 limestone islands rising from emerald water, explored on a slow overnight cruise.","Ha Long Bay holds around 1,600 limestone islands and islets, most uninhabited and many rising sheer from the sea. UNESCO listed the bay in 1994. Erosion over millions of years has carved caves, arches and hidden lagoons, and floating fishing communities once lived among them.

An overnight cruise is the way to see it well: kayaking into lagoons, visiting Sung Sot cave and waking to the islands in morning mist. For fewer boats, ask for a route into neighbouring Lan Ha Bay, where the scenery is similar and the water often quieter.",/api/placeholder.svg?t=Ha%20Long%20Bay&s=Ha%20Long%20Bay%2C%20Vietnam,,standard,false,2 days,,true,Sleep aboard a luxury cruise junk in the bay,true,85
hoi-an-ancient-town,Hoi An Ancient Town,Vietnam,Hoi An,"A lantern-lit trading port of Chinese assembly halls, Japanese bridges and ochre merchant houses on the Thu Bon River.","From the 15th to the 19th centuries Hoi An was a busy port where Chinese, Japanese and European merchants traded. When the river silted up and trade moved to Da Nang, the town was largely left as it was. UNESCO listed it in 1999. The ochre shophouses, Chinese assembly halls and the Japanese Covered Bridge, built in the early 1600s, remain in daily use.

The town is best on foot or by bicycle in the early morning and after dark, when silk lanterns light the lanes. On the monthly full-moon night, lights dim and candles float on the river.",/api/placeholder.svg?t=Hoi%20An%20Ancient%20Town&s=Hoi%20An%2C%20Vietnam,,standard,false,Full day,,true,Stay on the river or at a beach resort nearby,true,86
hanoi-old-quarter,Hanoi Old Quarter,Vietnam,Hanoi,"A dense grid of old guild streets beside Hoan Kiem Lake, best explored on foot, bowl by bowl.","Hanoi's Old Quarter grew up as a district of craft guilds, and many streets still carry the name of the goods once sold there, from silk to silver. Narrow tube houses, some only a few metres wide, run back from the pavements. Hoan Kiem Lake sits at the southern edge, with the red Huc Bridge leading to Ngoc Son Temple.

The quarter is best understood through its food: pho at breakfast, bun cha at lunch and egg coffee in a hidden upstairs café. On weekend evenings the streets around the lake close to traffic and fill with families.",/api/placeholder.svg?t=Hanoi%20Old%20Quarter&s=Hanoi%2C%20Vietnam,,standard,false,Half day,,true,Stay near Hoan Kiem Lake or the French Quarter,true,87
hue-imperial-city,Hue Imperial City,Vietnam,Hue,"The walled citadel and royal tombs of the Nguyen emperors, set along the Perfume River.","Hue was Vietnam's capital under the Nguyen dynasty from 1802 to 1945. The citadel, modelled in part on Beijing's Forbidden City, encloses the Imperial City behind moats and thick walls. Much was destroyed in the wars of the 20th century, above all in 1968, but the Noon Gate, throne hall and restored pavilions and galleries give a clear sense of court life. UNESCO listed the monuments in 1993.

The royal tombs in the hills south of the city are equally rewarding. Tu Duc's is a lakeside retreat of pavilions and pines, while Khai Dinh's mixes European and Vietnamese styles. The Thien Mu Pagoda overlooks the river.",/api/placeholder.svg?t=Hue%20Imperial%20City&s=Hue%2C%20Vietnam,,standard,false,Full day,,true,Stay by the Perfume River in central Hue,true,88
gyeongbokgung-palace,Gyeongbokgung Palace,South Korea,Seoul,"The main royal palace of the Joseon dynasty, framed by mountains, with a colourful changing of the guard at its gate.","Gyeongbokgung was built in 1395 as the main palace of the new Joseon dynasty. It burned during the Japanese invasions of 1592 and lay in ruins until its rebuilding in the 1860s. Restoration since the 1990s has returned many halls, from the throne hall of Geunjeongjeon to the Gyeonghoeru pavilion, raised on stone pillars over a lotus pond.

The royal guard changing ceremony at Gwanghwamun gate is a vivid display of costume and drumming. Visitors wearing hanbok enter free, which is why so many young Koreans walk the courtyards in traditional dress. The National Folk Museum lies within the grounds.",/api/placeholder.svg?t=Gyeongbokgung%20Palace&s=Seoul%2C%20South%20Korea,,standard,false,2-3 hours,,true,"Stay in Jongno or Gwanghwamun, a short walk away",true,89
bukchon-hanok-village,Bukchon Hanok Village,South Korea,Seoul,"Hilly lanes of traditional tiled-roof houses between two Joseon palaces, still home to Seoul residents.","Bukchon sits on the slopes between Gyeongbokgung and Changdeokgung palaces, where officials and nobles lived during the Joseon era. Its hundreds of hanok, traditional houses with curved tiled roofs and wooden frames, mostly date from the early 20th century. From the top lanes you look across a sea of roofs to the towers of central Seoul.

This is a lived-in neighbourhood, not a museum, and residents ask visitors to keep quiet. Tourist access to the busiest core lanes is now limited to daytime hours. Small craft workshops, tea houses and galleries open onto the side streets.",/api/placeholder.svg?t=Bukchon%20Hanok%20Village&s=Seoul%2C%20South%20Korea,,standard,false,2-3 hours,,true,Stay in a restored hanok guesthouse in Bukchon,true,90
jeju-island,Jeju Island,South Korea,Jeju Island,"A volcanic island of crater cones, lava tubes, coastal trails and Korea's highest peak, Hallasan.","Jeju was formed by volcanic eruptions, and its volcanic landscapes were listed by UNESCO in 2007. Hallasan, at 1,947 metres, is South Korea's highest mountain. On the east coast, Seongsan Ilchulbong is a tuff cone rising straight from the sea, climbed in about half an hour for sunrise. Manjanggul, a lava tube stretching for kilometres, can be walked in part.

The island is also home to the haenyeo, women free-divers who harvest shellfish without breathing equipment, a tradition UNESCO recognised in 2016. The Jeju Olle coastal trails link villages, beaches and cliffs.",/api/placeholder.svg?t=Jeju%20Island&s=Jeju%20Island%2C%20South%20Korea,,standard,false,2-3 days,,true,Stay in a resort in Jungmun on the south coast,true,91
gyeongju-historic-areas,Gyeongju Bulguksa and Royal Tombs,South Korea,Gyeongju,"The Silla capital's grassy royal mounds, ancient observatory and the stone temple of Bulguksa in the hills.","Gyeongju was the capital of the Silla kingdom for close to a thousand years, until 935. At its centre, Daereungwon's grassy burial mounds hold kings and queens; one, Cheonmachong, is open to show how the tombs were built. Nearby stands Cheomseongdae, a 7th-century stone observatory.

Bulguksa temple, completed in the 8th century on stone terraces in the hills, and the Seokguram grotto above it, with its granite Buddha facing the East Sea, are both UNESCO listed. At night, the rebuilt pavilions of Donggung Palace are lit and mirrored in Wolji Pond.",/api/placeholder.svg?t=Gyeongju%20Bulguksa%20and%20Royal%20Tombs&s=Gyeongju%2C%20South%20Korea,,standard,false,Full day,,true,Stay near Bomun Lake or in a hanok hotel in the old centre,true,92
gardens-by-the-bay,Gardens by the Bay,Singapore,Marina Bay,"Futuristic Supertrees, a cool indoor cloud forest and a vast flower dome on Singapore's waterfront.","Opened in 2012 on reclaimed land beside Marina Bay, Gardens by the Bay covers around 100 hectares. Its Supertree Grove of vertical gardens rises up to 50 metres, linked by the elevated OCBC Skyway. After dark, the trees come alive with a light and music show, free to watch from the grove.

Two glass conservatories hold very different climates. The Flower Dome displays plants from Mediterranean and semi-arid regions in seasonal displays. The Cloud Forest recreates tropical highland mist around a 35-metre planted mountain, with one of the world's tallest indoor waterfalls pouring from its summit.",/api/placeholder.svg?t=Gardens%20by%20the%20Bay&s=Marina%20Bay%2C%20Singapore,,standard,false,Half day,,true,"Stay at Marina Bay, within walking distance",true,93
marina-bay-waterfront,Marina Bay Waterfront,Singapore,Marina Bay,"Singapore's skyline on one easy walk, from the Merlion and the Fullerton to the SkyPark of Marina Bay Sands.","A promenade loops around Marina Bay for about 3.5 kilometres, linking the city's landmarks. On one side stand the Fullerton Hotel, a former general post office from 1928, and the Merlion statue. Opposite rises Marina Bay Sands, opened in 2010, whose three 55-storey towers are joined by a rooftop SkyPark.

The lotus-shaped ArtScience Museum holds changing exhibitions, and the Helix Bridge takes pedestrians across the water. Each evening a free light and water show plays out in front of the Marina Bay Sands promenade. The rooftop infinity pool is reserved for hotel guests.",/api/placeholder.svg?t=Marina%20Bay%20Waterfront&s=Marina%20Bay%2C%20Singapore,,standard,false,Half day,,true,Stay at Marina Bay Sands or the Fullerton Bay Hotel,true,94
sentosa-island,Sentosa Island,Singapore,Sentosa,"Singapore's resort island of beaches, theme parks and a historic fort, minutes from the city.","Sentosa was a British military island before becoming a leisure resort in the 1970s, and its name means peace and tranquillity in Malay. Fort Siloso, with its gun emplacements and tunnels, tells the story of the island's wartime past. Resorts World Sentosa holds Universal Studios Singapore and a large aquarium, popular with families.

The island's southern shore has three palm-lined beaches, Siloso, Palawan and Tanjong, and a cable car links Sentosa with Mount Faber on the mainland. Several luxury hotels sit in quiet grounds away from the attractions.",/api/placeholder.svg?t=Sentosa%20Island&s=Sentosa%2C%20Singapore,,standard,false,Full day,,true,Stay in one of Sentosa's resort hotels,true,95
north-male-atoll-resorts,North Malé Atoll Private Island Resorts,Maldives,North Malé Atoll,"Private island resorts and overwater villas a short speedboat ride from Malé, with reefs, surf and spas.","North Malé Atoll lies closest to the airport, so its resorts are reached by speedboat rather than seaplane, and guests can be in the lagoon within an hour of landing. Many occupy an island of their own, with overwater villas, house reefs for snorkelling and spas on stilts above the water.

The atoll was among the first in the Maldives to open to tourism in the 1970s, and it holds some of the country's classic dive sites and surf breaks. Night-lit reefs, sandbank picnics and dolphin cruises at sunset are standard pleasures.",/api/placeholder.svg?t=North%20Mal%C3%A9%20Atoll%20Private%20Island%20Resorts&s=North%20Mal%C3%A9%20Atoll%2C%20Maldives,,standard,false,4-7 days,,true,Stay in an overwater villa at a private island resort,true,96
hanifaru-bay,Hanifaru Bay,Maldives,Baa Atoll,A small bay in Baa Atoll where manta rays gather in their dozens to feed on plankton during the southwest monsoon.,"Hanifaru Bay is a small lagoon, roughly the size of a football field, in the Baa Atoll UNESCO Biosphere Reserve. In the southwest monsoon, currents push plankton into the bay, where it gathers against the reef. When conditions align, dozens of manta rays, and at times whale sharks, feed in the shallows, sometimes in spiralling chains.

The bay is a marine protected area, and scuba diving has been banned since 2012, so encounters are by snorkel only. Rangers manage entry and time in the water. Resorts in the atoll track conditions daily and can reach the bay quickly.",/api/placeholder.svg?t=Hanifaru%20Bay&s=Baa%20Atoll%2C%20Maldives,,standard,false,Half day,,true,Stay at a resort in Baa Atoll for a quick call-out,true,97
ari-atoll-whale-sharks,South Ari Atoll Whale Sharks,Maldives,Ari Atoll,"One of the few places on earth to snorkel with whale sharks all year, in a protected area along South Ari's outer reef.","The South Ari Atoll Marine Protected Area, established in 2009, covers a stretch of outer reef where whale sharks are present year-round. Most are young males, several metres long, cruising close to the surface along the reef edge. Boats search the reef line in the morning, and swimmers slip in to follow a shark for a few minutes at a time.

A code of conduct asks swimmers to keep a distance of at least three metres, avoid touching and not use flash. Nearby Conrad Maldives Rangali Island has the Ithaa undersea restaurant, set about five metres below the surface.",/api/placeholder.svg?t=South%20Ari%20Atoll%20Whale%20Sharks&s=Ari%20Atoll%2C%20Maldives,,standard,false,Half day,,true,Stay at a resort in South Ari Atoll,true,98
sigiriya-rock-fortress,Sigiriya Rock Fortress,Sri Lanka,Sigiriya,"A 5th-century royal citadel on a sheer rock about 180 metres above the plains, with painted maidens and lion's paws.","King Kashyapa built his palace on top of Sigiriya in the late 5th century, turning a vast rock outcrop into a fortress. UNESCO listed it in 1982. The climb passes water gardens, a spiral staircase to the frescoes of painted women, and the Mirror Wall, scratched with poems left by visitors over a thousand years ago.

Near the top, a pair of enormous carved lion's paws flank the final stairway, all that remains of the lion gate that gave the rock its name. The summit holds palace foundations, cisterns and wide views across forest and reservoirs.",/api/placeholder.svg?t=Sigiriya%20Rock%20Fortress&s=Sigiriya%2C%20Sri%20Lanka,,standard,false,Half day,,true,"Stay in a lodge in the Sigiriya area, a short drive away",true,99
temple-of-the-tooth-kandy,Temple of the Sacred Tooth Relic,Sri Lanka,Kandy,"Sri Lanka's most revered Buddhist shrine, home to a tooth relic of the Buddha and a festival of drummers and elephants.","Sri Dalada Maligawa stands beside Kandy Lake within the old royal palace complex of the last Sinhalese kingdom, which fell to the British in 1815. It houses a relic believed to be a tooth of the Buddha, long a symbol of sovereignty on the island. The Sacred City of Kandy was listed by UNESCO in 1988.

Daily puja ceremonies bring drumming, flowers and a brief glimpse of the gold casket that holds the relic. Each July or August the Esala Perahera fills the streets for ten nights with dancers, drummers and decorated elephants.",/api/placeholder.svg?t=Temple%20of%20the%20Sacred%20Tooth%20Relic&s=Kandy%2C%20Sri%20Lanka,,standard,false,2-3 hours,,true,Stay in the hills above Kandy Lake,true,100
ella-nine-arches-hill-country-train,"Ella, Nine Arches Bridge and the Hill-Country Train",Sri Lanka,Ella,"One of the world's great rail journeys through tea estates, ending at a colonial-era stone viaduct above the jungle.","The railway from Kandy to Ella climbs through the heart of Sri Lanka's tea country, passing estates, waterfalls and misty ridges above 1,800 metres. The journey takes around six to seven hours, and the section beyond Nanu Oya is the most scenic.

Near Ella, the Nine Arches Bridge at Demodara is a stone and brick viaduct completed in 1921, curving over a green valley. Trains cross several times a day. Ella itself makes a relaxed base, with short hikes up Little Adam's Peak and Ella Rock giving wide views over the Ella Gap to the southern plains.",/api/placeholder.svg?t=Ella%2C%20Nine%20Arches%20Bridge%20and%20the%20Hill-Country%20Train&s=Ella%2C%20Sri%20Lanka,,standard,false,2 days,,true,Stay in a hillside lodge overlooking the Ella Gap,true,101
galle-fort,Galle Fort,Sri Lanka,Galle,"A living Dutch-era fortified town on the southern coast, with ramparts, lighthouse and whitewashed churches.","The Portuguese first fortified Galle in the late 16th century, but the walls seen today were largely built by the Dutch after they took the port in 1640. UNESCO listed the fort in 1988. Within the ramparts, narrow streets of colonial houses, churches, mosques and boutique hotels form one of the best preserved fortified towns in Asia.

The ramparts make an easy loop, with the 1930s lighthouse on the southern edge and bastions facing the sea. At sunset, families gather on the walls and boys dive from Flag Rock. The fort's thick walls helped shield it during the 2004 tsunami.",/api/placeholder.svg?t=Galle%20Fort&s=Galle%2C%20Sri%20Lanka,,standard,false,Half day,,true,Stay inside the fort walls,true,102
tbilisi-old-town-sulphur-baths,Tbilisi Old Town & Sulphur Baths,Georgia,Tbilisi,"Brick-domed sulphur baths, carved balconies and Narikala Fortress above the river in the historic heart of Georgia's capital.","Tbilisi takes its name from the Georgian word for warm, after the hot springs that still feed the Abanotubani baths. Their low brick domes rise from the pavement below Narikala Fortress, a stronghold first built in the fourth century. The Orbeliani bath stands out with its blue-tiled, Persian-style façade.

Around the baths, lanes of wooden houses with carved balconies lead to churches, synagogues and a mosque within a few streets of each other. A cable car rises from Rike Park to the fortress for views over the old town. Insider detail: book a private room at a bath and ask for a traditional kisi scrub.",/api/placeholder.svg?t=Tbilisi%20Old%20Town%20%26%20Sulphur%20Baths&s=Tbilisi%2C%20Georgia,,standard,false,Full day,,true,"Stay in the Old Town or Sololaki, within walking distance of the baths",true,103
mtskheta-svetitskhoveli-jvari,Mtskheta: Svetitskhoveli & Jvari,Georgia,Mtskheta,"Georgia's ancient capital, with an eleventh-century cathedral and a sixth-century monastery high above two meeting rivers.","Mtskheta was the capital of the early Georgian kingdom of Iberia, and Christianity became the state religion here in the fourth century. Svetitskhoveli Cathedral, rebuilt in the early eleventh century, is one of the most important churches in the country and has long been a place of royal coronations and burials.

Across the river, Jvari Monastery stands on a hilltop and dates from around 600. From its terrace you see the Aragvi and Mtkvari rivers merge below the town. Both sites are part of a UNESCO World Heritage listing. Insider detail: look for the carved reliefs on Svetitskhoveli's outer walls.",/api/placeholder.svg?t=Mtskheta%3A%20Svetitskhoveli%20%26%20Jvari&s=Mtskheta%2C%20Georgia,,standard,false,Half day,,false,"Most visitors stay in Tbilisi, about 30 minutes away",true,104
gergeti-trinity-church-kazbegi,Gergeti Trinity Church,Georgia,Greater Caucasus,"A fourteenth-century church alone on a ridge at about 2,170 metres, with Mount Kazbek rising behind it.","Gergeti Trinity Church, known in Georgian as Tsminda Sameba, was built in the fourteenth century on a ridge above the village of Stepantsminda. It sits at about 2,170 metres, and behind it rises Mount Kazbek, a glaciated peak of 5,054 metres.

The drive north from Tbilisi follows the Georgian Military Road, passing Ananuri fortress and the Jvari Pass. From Stepantsminda you can hike up in around one and a half hours or take a vehicle along the road. Insider detail: on clear mornings the whole summit of Kazbek is visible from the church terrace, but cloud often builds by midday.",/api/placeholder.svg?t=Gergeti%20Trinity%20Church&s=Greater%20Caucasus%2C%20Georgia,,standard,false,Full day,,true,"Stay in Stepantsminda, where design-led mountain hotels face the church",true,105
upper-svaneti-mestia-ushguli,Upper Svaneti: Mestia & Ushguli,Georgia,Greater Caucasus,Medieval stone defence towers in remote high valleys beneath Georgia's tallest peaks.,"Upper Svaneti is a UNESCO World Heritage site in the high Caucasus, known for its stone defence towers built by Svan families roughly between the ninth and twelfth centuries. Mestia is the main town, with a museum that holds icons and manuscripts once hidden in these valleys for safety.

Ushguli, a cluster of hamlets about 45 kilometres beyond Mestia, sits at around 2,100 metres beneath Shkhara, Georgia's highest mountain. It is often cited as one of the highest permanently inhabited settlements in Europe. Insider detail: the Svaneti Museum of History and Ethnography in Mestia is worth an hour before you head up the valleys.",/api/placeholder.svg?t=Upper%20Svaneti%3A%20Mestia%20%26%20Ushguli&s=Greater%20Caucasus%2C%20Georgia,,standard,false,2-3 days,,true,Stay in Mestia; Ushguli has simple guesthouses,true,106
sighnaghi-kakheti-wine-country,Sighnaghi & Kakheti Wine Country,Georgia,Kakheti,A walled hill town above the Alazani Valley and the heartland of Georgia's ancient qvevri winemaking tradition.,"Georgia has one of the oldest winemaking traditions in the world, and in Kakheti wine is still fermented in large clay vessels called qvevri, buried in the ground. UNESCO lists the method as intangible cultural heritage. Family cellars and larger estates across the region offer tastings of amber and red wines.

Sighnaghi sits on a ridge above the Alazani Valley, enclosed by an eighteenth-century defensive wall with more than twenty towers. Bodbe Monastery, where St Nino is buried, lies just outside town. Insider detail: walk a section of the town wall at sunset, when the valley glows beneath the Caucasus.",/api/placeholder.svg?t=Sighnaghi%20%26%20Kakheti%20Wine%20Country&s=Kakheti%2C%20Georgia,,standard,false,1-2 days,,true,Stay in Sighnaghi or at a wine estate hotel in the Kakheti valley,true,107
baku-old-city-icherisheher,Baku Old City (Icherisheher),Azerbaijan,Baku,"A walled medieval city on the Caspian with the Maiden Tower, the Shirvanshahs' Palace and quiet caravanserai courtyards.","Icherisheher, Baku's inner city, is enclosed by stone walls and listed by UNESCO together with the Palace of the Shirvanshahs and the Maiden Tower. The palace complex dates mainly from the fifteenth century and includes a mosque, a mausoleum and a bathhouse.

The Maiden Tower is the city's emblem, a cylindrical stone tower whose exact age and purpose are still debated. Climb it for views over the rooftops to the bay. Between the monuments are carpet shops, restored caravanserais and narrow lanes that stay calm even in summer. Insider detail: the old caravanserais now hold restaurants, a fine setting for dinner.",/api/placeholder.svg?t=Baku%20Old%20City%20(Icherisheher)&s=Baku%2C%20Azerbaijan,,standard,false,Half day,,true,"Stay in or just outside the old city walls, near the seafront",true,108
baku-flame-towers-boulevard,Flame Towers & Baku Boulevard,Azerbaijan,Baku,Three flame-shaped towers lit up at night above a seafront promenade that runs for kilometres along the Caspian.,"The Flame Towers, completed in 2012, rise on the hill above Baku Bay. After dark their glass façades become giant LED screens showing moving flames, a nod to the country's name and its long history of natural gas fires.

Below, Baku Boulevard runs along the Caspian shore, a seafront park first laid out in the early twentieth century and since greatly extended. It passes the Azerbaijan Carpet Museum, designed in the shape of a rolled carpet. Insider detail: take the funicular up to Highland Park for the best view of the towers and the bay at night.",/api/placeholder.svg?t=Flame%20Towers%20%26%20Baku%20Boulevard&s=Baku%2C%20Azerbaijan,,standard,false,2-3 hours,,true,"Stay in a Flame Towers or seafront hotel, a short walk from the boulevard",true,109
gobustan-rock-art-mud-volcanoes,Gobustan Petroglyphs & Mud Volcanoes,Azerbaijan,Gobustan,"Thousands of prehistoric rock carvings in a UNESCO landscape, with cold, bubbling mud volcanoes a short drive away.","Gobustan Rock Art Cultural Landscape holds more than 6,000 rock engravings, recording hunters, boats, animals and dancing figures over tens of thousands of years. A modern museum at the site explains the carvings before you walk among the boulders. Look for the Gaval Dash, a flat stone that rings like a tambourine when struck.

Nearby, a rough track leads to a field of small mud volcanoes, cones that gurgle and spill grey mud. Azerbaijan has more mud volcanoes than almost any other country. Insider detail: the mud is cool, not hot, so you can safely look closely.",/api/placeholder.svg?t=Gobustan%20Petroglyphs%20%26%20Mud%20Volcanoes&s=Gobustan%2C%20Azerbaijan,,standard,false,Half day,,false,Visit as a half-day trip from Baku,true,110
sheki-khans-palace,Sheki Khan's Palace,Azerbaijan,Sheki,An eighteenth-century summer palace famous for jewel-like stained-glass windows fitted without nails or glue.,"The Palace of the Sheki Khans was built in the second half of the eighteenth century as a summer residence. It is small, two storeys in all, but its interiors are covered in painted flowers, hunting scenes and battle murals.

The windows are its signature: shebeke, lattices of carved wooden pieces holding coloured glass, assembled without nails or glue. The palace and the historic centre of Sheki are on the UNESCO World Heritage list. Insider detail: photography inside is not allowed, so take time to look, then find a shebeke workshop in town to see the craft up close.",/api/placeholder.svg?t=Sheki%20Khan's%20Palace&s=Sheki%2C%20Azerbaijan,,standard,false,Full day,,true,Stay in Sheki; the restored Upper Caravanserai offers atmospheric rooms,true,111
gabala-mountain-resort,Gabala,Azerbaijan,Gabala,"Forests, lakes and cable cars in the Caucasus foothills, Azerbaijan's favourite mountain retreat.","Gabala sits in the green foothills of the Greater Caucasus, a few hours' drive from Baku. The Tufandag resort runs cable cars up the mountain for summer walks and winter skiing, and Nohur Lake lies just outside town among wooded hills.

Nearby, the Seven Beauties waterfall is reached by a short climb through forest. The area was once the capital of Caucasian Albania, and archaeological remains of the ancient city lie outside town. Mountain rivers and walnut and oak forests make it a green escape in summer. Insider detail: several wellness resorts here make Gabala a quiet counterpoint to Baku.",/api/placeholder.svg?t=Gabala&s=Gabala%2C%20Azerbaijan,,standard,false,1-2 days,,true,Stay at one of the resort hotels in the hills around Gabala,true,112
samarkand-registan,"Registan, Samarkand",Uzbekistan,Samarkand,Three monumental tiled madrasas framing the most celebrated square of the Silk Road.,"The Registan is framed by three madrasas. Ulugh Beg Madrasa, built in the 1410s and 1420s by Timur's astronomer grandson, faces two seventeenth-century buildings: Sher-Dor, with its tigers chasing deer beneath sun faces, and Tilya-Kori, whose mosque interior is richly gilded.

Together they form one of the great architectural ensembles of the Islamic world, part of Samarkand's UNESCO World Heritage listing. The courtyards hold craft stalls in former student cells. Insider detail: look closely and you will see that some minarets lean slightly, a legacy of earthquakes over the centuries.",/api/placeholder.svg?t=Registan%2C%20Samarkand&s=Samarkand%2C%20Uzbekistan,,standard,false,2-3 hours,,true,"Stay in central Samarkand, a short walk or drive from the square",true,113
